,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,RFM_Level,Customer_ID
2033,113,82,1633.779999999999,2,3,4,234,9,BIG SPENDER,15122.0
2034,6,106,2199.309999999999,4,4,4,444,12,STARS,15123.0
2035,22,15,184.19,3,1,1,311,5,LIGHT,15124.0
2036,24,127,11528.480000000001,3,4,4,344,11,BIG SPENDER,15125.0
2037,65,16,406.53000000000003,2,1,2,212,5,REGULARS,15127.0
2038,59,102,1471.0000000000007,2,4,3,243,9,LOYAL,15128.0
2039,49,84,3447.4,3,3,4,334,10,BIG SPENDER,15129.0
2040,169,22,330.11,1,2,2,122,5,LOST,15130.0
2041,17,52,977.9300000000002,4,3,3,433,10,ACTIVE,15132.0
2042,127,29,982.4199999999998,2,2,3,223,7,REGULARS,15133.0
2043,14,73,1387.99,4,3,3,433,10,ACTIVE,15134.0
2044,238,9,139.04999999999998,1,1,1,111,3,LOST,15135.0
2045,2,68,1286.7000000000005,4,3,3,433,10,ACTIVE,15136.0
2046,239,13,178.96000000000006,1,1,1,111,3,LOST,15139.0
2047,51,80,2354.2500000000005,3,3,4,334,10,BIG SPENDER,15140.0
2048,45,26,498.74,3,2,2,322,7,REGULARS,15142.0
2049,225,14,259.45,1,1,1,111,3,LOST,15143.0
2050,7,217,6580.440000000007,4,4,4,444,12,STARS,15144.0
2051,3,67,1194.7300000000005,4,3,3,433,10,ACTIVE,15145.0
2052,164,91,1327.1600000000008,1,3,3,133,7,LOST,15146.0
2053,239,28,623.5,1,2,2,122,5,LOST,15147.0
2054,10,20,301.28999999999996,4,2,1,421,7,ACTIVE,15148.0
2055,133,23,520.8,2,2,2,222,6,REGULARS,15149.0
2056,16,343,5314.469999999995,4,4,4,444,12,STARS,15150.0
2057,9,271,4745.69,4,4,4,444,12,STARS,15152.0
2058,30,22,329.25,3,2,2,322,7,REGULARS,15153.0
2059,74,85,296.41999999999996,2,3,1,231,6,LIGHT,15154.0
2060,0,55,961.4899999999999,4,3,3,433,10,ACTIVE,15156.0
2061,3,125,1936.0700000000006,4,4,4,444,12,STARS,15157.0
2062,44,7,401.4000000000001,3,1,2,312,6,REGULARS,15158.0
2064,356,4,158.16000000000003,1,1,1,111,3,LOST,15160.0
2065,17,29,304.4699999999999,4,2,2,422,8,ACTIVE,15163.0
2066,68,103,843.0499999999997,2,4,3,243,9,LOYAL,15164.0
2067,372,27,487.75,1,2,2,122,5,LOST,15165.0
2068,320,41,162.99999999999997,1,3,1,131,5,LOST,15167.0
2069,25,5,106.56,3,1,1,311,5,LIGHT,15168.0
2070,330,5,1289.5,1,1,3,113,5,LOST,15171.0
2071,8,110,1624.0499999999997,4,4,4,444,12,STARS,15172.0
2072,322,11,135.75,1,1,1,111,3,LOST,15174.0
2073,71,23,224.14000000000007,2,2,1,221,5,LIGHT,15175.0
2074,259,3,40.5,1,1,1,111,3,LOST,15178.0
2075,17,93,2206.9500000000003,4,3,4,434,11,BIG SPENDER,15179.0
2076,366,6,87.5,1,1,1,111,3,LOST,15180.0
2077,65,16,689.4799999999999,2,1,3,213,6,REGULARS,15181.0
2078,153,29,622.8499999999999,1,2,2,122,5,LOST,15182.0
2079,28,63,406.76,3,3,2,332,8,REGULARS,15184.0
2080,69,21,310.62000000000006,2,2,2,222,6,REGULARS,15185.0
2081,13,19,411.40999999999997,4,2,2,422,8,ACTIVE,15186.0
2082,1,91,4777.180000000001,4,3,4,434,11,BIG SPENDER,15187.0
2084,119,51,1044.3200000000004,2,3,3,233,8,REGULARS,15192.0
2085,60,19,499.32,2,2,2,222,6,REGULARS,15193.0
2086,2,310,7616.529999999996,4,4,4,444,12,STARS,15194.0
2087,2,1,3861.0,4,1,4,414,9,BIG SPENDER,15195.0
2088,10,32,1079.61,4,2,3,423,9,ACTIVE,15197.0
2089,91,10,193.64,2,1,1,211,4,LIGHT,15198.0
2090,58,13,1268.6999999999998,2,1,3,213,6,REGULARS,15199.0
2091,86,69,1236.5400000000002,2,3,3,233,8,REGULARS,15201.0
2092,25,142,1827.7999999999984,3,4,4,344,11,BIG SPENDER,15203.0
2093,356,9,316.58000000000004,1,1,2,112,4,LOST,15204.0
2094,84,37,653.2399999999999,2,2,2,222,6,REGULARS,15205.0
2095,9,9,420.29999999999995,4,1,2,412,7,ACTIVE,15206.0
2096,0,42,870.12,4,3,3,433,10,ACTIVE,15208.0
2097,224,20,331.18,1,2,2,122,5,LOST,15210.0
2098,59,52,894.41,2,3,3,233,8,REGULARS,15211.0
2099,240,5,101.79999999999998,1,1,1,111,3,LOST,15212.0
2100,318,24,328.34999999999997,1,2,2,122,5,LOST,15213.0
2101,1,110,1661.44,4,4,4,444,12,STARS,15214.0
2102,46,35,734.94,3,2,3,323,8,REGULARS,15215.0
2103,87,2,96.6,2,1,1,211,4,LIGHT,15216.0
2104,10,166,5756.890000000001,4,4,4,444,12,STARS,15218.0
2105,175,9,305.75,1,1,2,112,4,LOST,15219.0
2106,51,117,1778.9599999999994,3,4,4,344,11,BIG SPENDER,15220.0
2107,365,5,403.25,1,1,2,112,4,LOST,15221.0
2108,318,5,585.0,1,1,2,112,4,LOST,15222.0
2109,225,20,755.7500000000001,1,2,3,123,6,LOST,15223.0
2110,357,14,322.0799999999999,1,1,2,112,4,LOST,15224.0
2111,233,23,409.4000000000001,1,2,2,122,5,LOST,15225.0
2112,310,8,154.41,1,1,1,111,3,LOST,15226.0
2113,36,58,1219.4,3,3,3,333,9,REGULARS,15227.0
2114,65,125,3386.7100000000005,2,4,4,244,10,BIG SPENDER,15228.0
2115,238,23,429.6,1,2,2,122,5,LOST,15230.0
2116,112,31,612.0600000000001,2,2,2,222,6,REGULARS,15232.0
2117,276,14,197.0,1,1,1,111,3,LOST,15234.0
2118,217,143,2247.5099999999998,1,4,4,144,9,BIG SPENDER,15235.0
2119,298,15,321.05,1,1,2,112,4,LOST,15236.0
2120,1,99,1412.320000000001,4,4,3,443,11,LOYAL,15237.0
2121,28,50,1071.9899999999998,3,3,3,333,9,REGULARS,15238.0
2122,9,49,780.59,4,3,3,433,10,ACTIVE,15239.0
2123,44,78,1706.57,3,3,4,334,10,BIG SPENDER,15240.0
2124,66,110,1756.4400000000007,2,4,4,244,10,BIG SPENDER,15241.0
2125,73,22,316.68,2,2,2,222,6,REGULARS,15243.0
2126,64,34,631.57,2,2,2,222,6,REGULARS,15244.0
2127,133,89,2515.8400000000006,2,3,4,234,9,BIG SPENDER,15245.0
2128,237,33,514.1500000000001,1,2,2,122,5,LOST,15246.0
2129,121,6,356.0,2,1,2,212,5,REGULARS,15247.0
2130,31,350,6688.460000000006,3,4,4,344,11,BIG SPENDER,15249.0
2131,8,111,10484.989999999996,4,4,4,444,12,STARS,15251.0
2132,35,44,740.7800000000001,3,3,3,333,9,REGULARS,15252.0
2133,15,53,918.1999999999996,4,3,3,433,10,ACTIVE,15253.0
2134,126,18,300.36000000000007,2,2,1,221,5,LIGHT,15254.0
2135,66,47,890.8499999999999,2,3,3,233,8,REGULARS,15255.0
2136,148,6,98.45,1,1,1,111,3,LOST,15256.0
2137,282,7,317.15,1,1,2,112,4,LOST,15257.0
2138,168,34,623.1600000000001,1,2,2,122,5,LOST,15258.0
2139,99,77,1810.77,2,3,4,234,9,BIG SPENDER,15260.0
2140,134,19,254.82000000000002,2,2,1,221,5,LIGHT,15261.0
2141,323,10,178.95000000000002,1,1,1,111,3,LOST,15262.0
2142,106,12,156.50999999999996,2,1,1,211,4,LIGHT,15263.0
2143,63,23,393.74000000000007,2,2,2,222,6,REGULARS,15264.0
2144,150,82,1506.1200000000001,1,3,3,133,7,LOST,15265.0
2145,337,6,119.30000000000001,1,1,1,111,3,LOST,15266.0
2146,21,11,1717.36,3,1,4,314,8,BIG SPENDER,15267.0
2147,23,2,408.8,3,1,2,312,6,REGULARS,15269.0
2148,15,41,2379.49,4,3,4,434,11,BIG SPENDER,15270.0
2149,6,274,2507.070000000002,4,4,4,444,12,STARS,15271.0
2150,56,63,721.9399999999998,2,3,3,233,8,REGULARS,15272.0
2151,3,47,716.5700000000003,4,3,3,433,10,ACTIVE,15274.0
2152,37,41,615.1399999999999,3,3,2,332,8,REGULARS,15275.0
2153,65,52,135.31000000000003,2,3,1,231,6,LIGHT,15276.0
2154,46,12,255.89999999999998,3,1,1,311,5,LIGHT,15277.0
2155,354,19,290.51,1,2,1,121,4,LOST,15279.0
2156,171,16,113.12,1,1,1,111,3,LOST,15280.0
2157,58,139,2332.149999999999,2,4,4,244,10,BIG SPENDER,15281.0
2158,49,3,240.55,3,1,1,311,5,LIGHT,15286.0
2159,21,20,486.69,3,2,2,322,7,REGULARS,15287.0
2160,42,88,2306.519999999999,3,3,4,334,10,BIG SPENDER,15288.0
2161,28,58,939.7800000000003,3,3,3,333,9,REGULARS,15289.0
2162,4,204,7943.22,4,4,4,444,12,STARS,15290.0
2163,25,103,4668.300000000002,3,4,4,344,11,BIG SPENDER,15291.0
2164,200,25,180.93999999999997,1,2,1,121,4,LOST,15292.0
2165,50,194,3672.86,3,4,4,344,11,BIG SPENDER,15296.0
2166,9,39,641.94,4,2,2,422,8,ACTIVE,15297.0
2167,1,192,4799.900000000001,4,4,4,444,12,STARS,15298.0
2168,66,7,4507.01,2,1,4,214,7,BIG SPENDER,15299.0
2169,63,28,496.4399999999999,2,2,2,222,6,REGULARS,15300.0
2170,50,243,5070.3499999999985,3,4,4,344,11,BIG SPENDER,15301.0
2171,289,31,574.02,1,2,2,122,5,LOST,15303.0
2172,60,23,694.4000000000002,2,2,3,223,7,REGULARS,15304.0
2173,63,58,1174.3499999999997,2,3,3,233,8,REGULARS,15306.0
2174,95,12,205.3,2,1,1,211,4,LIGHT,15307.0
2175,273,19,310.47,1,2,2,122,5,LOST,15308.0
2177,74,47,924.8500000000001,2,3,3,233,8,REGULARS,15312.0
2178,109,1,52.0,2,1,1,211,4,LIGHT,15313.0
2179,198,24,327.97,1,2,2,122,5,LOST,15314.0
2180,63,37,570.5,2,2,2,222,6,REGULARS,15315.0
2181,326,1,165.0,1,1,1,111,3,LOST,15316.0
2182,3,33,312.62,4,2,2,422,8,ACTIVE,15318.0
2183,283,16,204.5,1,1,1,111,3,LOST,15319.0
2184,43,36,267.13,3,2,1,321,6,LIGHT,15320.0
2185,70,95,2748.3100000000004,2,3,4,234,9,BIG SPENDER,15321.0
2186,85,42,679.6799999999998,2,3,3,233,8,REGULARS,15322.0
2187,103,49,162.2899999999999,2,3,1,231,6,LIGHT,15325.0
2188,333,29,311.71,1,2,2,122,5,LOST,15326.0
2189,52,10,208.75000000000003,2,1,1,211,4,LIGHT,15327.0
2190,38,57,1049.6999999999998,3,3,3,333,9,REGULARS,15329.0
2191,31,13,714.96,3,1,3,313,7,REGULARS,15330.0
2192,365,35,1661.06,1,2,4,124,7,BIG SPENDER,15332.0
2193,207,16,1028.56,1,1,3,113,5,LOST,15333.0
2194,156,99,351.6699999999999,1,4,2,142,7,LOYAL,15334.0
2195,53,36,173.97000000000003,2,2,1,221,5,LIGHT,15335.0
2196,65,86,574.0699999999998,2,3,2,232,7,REGULARS,15339.0
2197,80,17,2020.52,2,2,4,224,8,BIG SPENDER,15341.0
2198,129,24,406.0899999999999,2,2,2,222,6,REGULARS,15342.0
2199,86,21,364.5,2,2,2,222,6,REGULARS,15343.0
2200,0,26,563.94,4,2,2,422,8,ACTIVE,15344.0
2201,45,20,393.54,3,2,2,322,7,REGULARS,15345.0
2202,332,17,252.42000000000004,1,2,1,121,4,LOST,15346.0
2203,365,5,201.59999999999997,1,1,1,111,3,LOST,15347.0
2204,71,9,158.03999999999996,2,1,1,211,4,LIGHT,15348.0
2205,157,72,473.80999999999983,1,3,2,132,6,LOST,15349.0
2206,372,5,115.65,1,1,1,111,3,LOST,15350.0
2207,11,225,1960.110000000001,4,4,4,444,12,STARS,15351.0
2208,254,63,777.02,1,3,3,133,7,LOST,15353.0
2209,28,14,277.05000000000007,3,1,1,311,5,LIGHT,15355.0
2210,30,519,2766.499999999999,3,4,4,344,11,BIG SPENDER,15356.0
2211,4,551,8347.199999999992,4,4,4,444,12,STARS,15358.0
2212,39,13,427.92999999999995,3,1,2,312,6,REGULARS,15360.0
2213,361,7,418.9200000000001,1,1,2,112,4,LOST,15361.0
2214,372,16,326.0,1,1,2,112,4,LOST,15363.0
2215,95,29,913.1900000000004,2,2,3,223,7,REGULARS,15364.0
2216,25,114,2314.32,3,4,4,344,11,BIG SPENDER,15365.0
2217,74,44,602.5100000000001,2,3,2,232,7,REGULARS,15366.0
2218,56,95,1877.5899999999992,2,3,4,234,9,BIG SPENDER,15367.0
2219,20,4,446.94000000000005,3,1,2,312,6,REGULARS,15368.0
2220,40,94,2386.05,3,3,4,334,10,BIG SPENDER,15370.0
2221,136,27,2007.4,2,2,4,224,8,BIG SPENDER,15372.0
2222,7,132,2415.9100000000003,4,4,4,444,12,STARS,15373.0
2223,128,3,168.0,2,1,1,211,4,LIGHT,15374.0
2224,39,117,1233.3599999999997,3,4,3,343,10,LOYAL,15376.0
2225,168,194,3703.2899999999995,1,4,4,144,9,BIG SPENDER,15379.0
2226,8,36,1690.26,4,2,4,424,10,BIG SPENDER,15380.0
2227,213,8,596.85,1,1,2,112,4,LOST,15381.0
2228,14,302,5955.709999999999,4,4,4,444,12,STARS,15382.0
2229,169,41,642.41,1,3,2,132,6,LOST,15384.0
2230,39,12,316.88,3,1,2,312,6,REGULARS,15385.0
2231,185,31,394.14000000000004,1,2,2,122,5,LOST,15386.0
2232,269,10,140.54,1,1,1,111,3,LOST,15388.0
2233,171,1,500.0,1,1,2,112,4,LOST,15389.0
2234,4,84,1535.5299999999997,4,3,3,433,10,ACTIVE,15392.0
2235,15,12,231.86,4,1,1,411,6,NEW,15393.0
2236,9,85,2183.54,4,3,4,434,11,BIG SPENDER,15394.0
2237,325,7,107.45000000000002,1,1,1,111,3,LOST,15395.0
2238,112,14,288.17999999999995,2,1,1,211,4,LIGHT,15396.0
2239,289,6,94.0,1,1,1,111,3,LOST,15397.0
2240,15,73,1345.5299999999997,4,3,3,433,10,ACTIVE,15398.0
2241,0,50,815.7699999999999,4,3,3,433,10,ACTIVE,15399.0
2242,91,12,716.2,2,1,3,213,6,REGULARS,15400.0
2243,148,42,626.7699999999999,1,3,2,132,6,LOST,15402.0
2244,188,8,349.1,1,1,2,112,4,LOST,15405.0
2245,30,53,510.7099999999999,3,3,2,332,8,REGULARS,15406.0
2246,33,153,1056.44,3,4,3,343,10,LOYAL,15407.0
2247,263,34,267.17999999999995,1,2,1,121,4,LOST,15408.0
2248,83,122,3450.8400000000015,2,4,4,244,10,BIG SPENDER,15410.0
2249,25,99,1358.8800000000003,3,4,3,343,10,LOYAL,15411.0
2250,170,10,190.53000000000003,1,1,1,111,3,LOST,15412.0
2251,9,39,774.8999999999999,4,2,3,423,9,ACTIVE,15414.0
2252,312,48,572.8099999999998,1,3,2,132,6,LOST,15415.0
2253,64,192,3984.3199999999993,2,4,4,244,10,BIG SPENDER,15416.0
2254,84,28,508.8000000000001,2,2,2,222,6,REGULARS,15417.0
2255,24,8,135.86,3,1,1,311,5,LIGHT,15419.0
2256,58,53,950.3599999999996,2,3,3,233,8,REGULARS,15421.0
2257,322,6,97.7,1,1,1,111,3,LOST,15422.0
2258,37,2,43.5,3,1,1,311,5,LIGHT,15423.0
2259,253,17,383.34,1,2,2,122,5,LOST,15424.0
2260,18,292,1447.39,3,4,3,343,10,LOYAL,15426.0
2261,32,306,1483.1399999999999,3,4,3,343,10,LOYAL,15427.0
2262,14,6,93.78,4,1,1,411,6,NEW,15428.0
2263,26,82,397.3499999999998,3,3,2,332,8,REGULARS,15429.0
2264,22,10,171.19,3,1,1,311,5,LIGHT,15432.0
2265,213,41,533.2999999999998,1,3,2,132,6,LOST,15433.0
2266,7,55,1041.4800000000002,4,3,3,433,10,ACTIVE,15434.0
2267,21,29,149.29000000000005,3,2,1,321,6,LIGHT,15435.0
2268,11,329,1122.5300000000007,4,4,3,443,11,LOYAL,15436.0
2269,261,45,200.16000000000003,1,3,1,131,5,LOST,15437.0
2270,130,25,156.57999999999998,2,2,1,221,5,LIGHT,15438.0
2271,54,62,383.67999999999995,2,3,2,232,7,REGULARS,15440.0
2272,248,2,594.0,1,1,2,112,4,LOST,15442.0
2273,1,382,3236.909999999999,4,4,4,444,12,STARS,15443.0
2274,8,219,1418.2600000000016,4,4,3,443,11,LOYAL,15444.0
2275,263,5,113.5,1,1,1,111,3,LOST,15445.0
2276,330,9,155.17,1,1,1,111,3,LOST,15447.0
2277,312,28,494.64000000000004,1,2,2,122,5,LOST,15448.0
2278,25,60,974.52,3,3,3,333,9,REGULARS,15449.0
2279,29,30,429.84,3,2,2,322,7,REGULARS,15450.0
2280,29,58,538.73,3,3,2,332,8,REGULARS,15452.0
2281,1,286,1388.370000000001,4,4,3,443,11,LOYAL,15453.0
2282,361,25,179.10000000000002,1,2,1,121,4,LOST,15454.0
2283,282,60,447.2200000000001,1,3,2,132,6,LOST,15456.0
2284,261,58,237.07000000000002,1,3,1,131,5,LOST,15457.0
2285,24,7,161.64,3,1,1,311,5,LIGHT,15458.0
2286,353,58,216.76,1,3,1,131,5,LOST,15460.0
2287,93,11,234.60000000000002,2,1,1,211,4,LIGHT,15462.0
2288,28,7,126.14,3,1,1,311,5,LIGHT,15463.0
2289,337,157,1048.8500000000006,1,4,3,143,8,LOYAL,15464.0
2290,19,97,7354.62,3,4,4,344,11,BIG SPENDER,15465.0
2291,84,57,334.53000000000014,2,3,2,232,7,REGULARS,15466.0
2292,8,52,524.88,4,3,2,432,9,ACTIVE,15467.0
2293,50,24,467.50999999999993,3,2,2,322,7,REGULARS,15468.0
2294,49,24,538.55,3,2,2,322,7,REGULARS,15469.0
2295,1,77,469.47999999999985,4,3,2,432,9,ACTIVE,15471.0
2296,112,76,371.56,2,3,2,232,7,REGULARS,15472.0
2297,13,11,1771.2,4,1,4,414,9,BIG SPENDER,15473.0
2298,76,29,454.10999999999984,2,2,2,222,6,REGULARS,15475.0
2299,39,46,1441.4199999999996,3,3,3,333,9,REGULARS,15478.0
2300,115,45,905.5,2,3,3,233,8,REGULARS,15480.0
2301,15,98,11054.960000000003,4,4,4,444,12,STARS,15482.0
2302,160,88,233.81000000000006,1,3,1,131,5,LOST,15483.0
2303,0,188,3594.3099999999995,4,4,4,444,12,STARS,15484.0
2304,29,86,2575.0,3,3,4,334,10,BIG SPENDER,15485.0
2305,92,2,91.32000000000001,2,1,1,211,4,LIGHT,15488.0
2306,22,50,1134.28,3,3,3,333,9,REGULARS,15489.0
2307,94,154,3100.0900000000015,2,4,4,244,10,BIG SPENDER,15491.0
2308,27,35,659.4599999999999,3,2,3,323,8,REGULARS,15492.0
2309,32,297,2001.800000000005,3,4,4,344,11,BIG SPENDER,15493.0
2310,20,125,1299.230000000001,3,4,3,343,10,LOYAL,15494.0
2311,17,15,1262.2,4,1,3,413,8,ACTIVE,15497.0
2312,2,512,13316.399999999992,4,4,4,444,12,STARS,15498.0
2313,7,68,1131.5600000000004,4,3,3,433,10,ACTIVE,15500.0
2314,15,213,10384.93,4,4,4,444,12,STARS,15502.0
2315,362,70,147.09000000000003,1,3,1,131,5,LOST,15503.0
2316,80,13,52.83000000000001,2,1,1,211,4,LIGHT,15504.0
2317,52,97,3610.9600000000005,2,4,4,244,10,BIG SPENDER,15505.0
2318,22,164,979.2600000000004,3,4,3,343,10,LOYAL,15506.0
2319,171,46,492.35999999999996,1,3,2,132,6,LOST,15507.0
2320,188,92,1000.2700000000002,1,3,3,133,7,LOST,15508.0
2321,330,1,250.0,1,1,1,111,3,LOST,15510.0
2322,11,160,909.2300000000001,4,4,3,443,11,LOYAL,15511.0
2323,155,7,121.0,1,1,1,111,3,LOST,15512.0
2325,11,178,4139.460000000002,4,4,4,444,12,STARS,15514.0
2326,44,15,62.43,3,1,1,311,5,LIGHT,15516.0
2327,232,27,267.03000000000003,1,2,1,121,4,LOST,15517.0
2328,63,214,1942.4500000000012,2,4,4,244,10,BIG SPENDER,15518.0
2329,1,18,343.49999999999994,4,2,2,422,8,ACTIVE,15520.0
2330,39,185,3000.2000000000007,3,4,4,344,11,BIG SPENDER,15521.0
2331,32,57,398.84,3,3,2,332,8,REGULARS,15522.0
2332,83,10,412.00999999999993,2,1,2,212,5,REGULARS,15523.0
2333,24,1,440.0,3,1,2,312,6,REGULARS,15524.0
2334,1,178,825.9200000000002,4,4,3,443,11,LOYAL,15525.0
2335,32,4,148.44,3,1,1,311,5,LIGHT,15526.0
2336,18,163,2429.779999999999,3,4,4,344,11,BIG SPENDER,15527.0
2337,253,26,229.32999999999993,1,2,1,121,4,LOST,15528.0
2338,22,672,3995.2299999999973,3,4,4,344,11,BIG SPENDER,15529.0
2339,21,108,1502.3500000000001,3,4,3,343,10,LOYAL,15530.0
2340,7,228,2007.4399999999994,4,4,4,444,12,STARS,15531.0
2341,24,256,1580.9300000000032,3,4,4,344,11,BIG SPENDER,15532.0
2342,18,83,807.5699999999997,3,3,3,333,9,REGULARS,15533.0
2343,172,75,536.3999999999999,1,3,2,132,6,LOST,15535.0
2344,162,24,110.92000000000003,1,2,1,121,4,LOST,15537.0
2345,6,41,538.46,4,3,2,432,9,ACTIVE,15539.0
2346,10,15,213.30000000000004,4,1,1,411,6,NEW,15540.0
2347,113,29,85.13000000000002,2,2,1,221,5,LIGHT,15541.0
2348,287,28,127.85999999999999,1,2,1,121,4,LOST,15543.0
2349,8,259,3546.709999999995,4,4,4,444,12,STARS,15544.0
2350,53,81,292.7199999999999,2,3,1,231,6,LIGHT,15545.0
2351,6,702,4954.839999999991,4,4,4,444,12,STARS,15547.0
2352,76,115,1693.26,2,4,4,244,10,BIG SPENDER,15549.0
2353,3,61,575.63,4,3,2,432,9,ACTIVE,15550.0
2354,36,29,436.05999999999995,3,2,2,322,7,REGULARS,15551.0
2355,216,17,90.12,1,2,1,121,4,LOST,15552.0
2356,59,56,437.22999999999985,2,3,2,232,7,REGULARS,15553.0
2357,277,14,217.2,1,1,1,111,3,LOST,15554.0
2359,23,31,279.77,3,2,1,321,6,LIGHT,15556.0
2360,28,20,473.65,3,2,2,322,7,REGULARS,15557.0
2361,11,27,800.5900000000001,4,2,3,423,9,ACTIVE,15561.0
2362,351,1,134.55,1,1,1,111,3,LOST,15562.0
2363,21,113,1400.4399999999998,3,4,3,343,10,LOYAL,15563.0
2364,49,8,173.15999999999997,3,1,1,311,5,LIGHT,15565.0
2365,18,7,186.01000000000002,3,1,1,311,5,LIGHT,15567.0
2366,2,53,758.2899999999998,4,3,3,433,10,ACTIVE,15568.0
2367,103,31,1375.7100000000003,2,2,3,223,7,REGULARS,15569.0
2368,6,323,4165.52,4,4,4,444,12,STARS,15570.0
2369,11,57,650.43,4,3,2,432,9,ACTIVE,15571.0
2370,4,215,2552.86,4,4,4,444,12,STARS,15572.0
2371,31,104,607.45,3,4,2,342,9,LOYAL,15573.0
2372,177,168,702.2500000000001,1,4,3,143,8,LOYAL,15574.0
2373,37,45,940.6700000000002,3,3,3,333,9,REGULARS,15576.0
2374,150,39,258.8799999999998,1,2,1,121,4,LOST,15577.0
2375,161,13,127.1,1,1,1,111,3,LOST,15578.0
2376,68,51,348.5999999999999,2,3,2,232,7,REGULARS,15579.0
2377,120,149,3679.9700000000003,2,4,4,244,10,BIG SPENDER,15581.0
2378,24,44,682.9100000000001,3,3,3,333,9,REGULARS,15582.0
2379,23,123,725.1099999999999,3,4,3,343,10,LOYAL,15584.0
2380,176,31,455.30000000000007,1,2,2,122,5,LOST,15585.0
2381,49,9,913.6800000000002,3,1,3,313,7,REGULARS,15587.0
2382,255,29,478.53,1,2,2,122,5,LOST,15589.0
2383,46,24,388.58,3,2,2,322,7,REGULARS,15592.0
2384,70,5,199.8,2,1,1,211,4,LIGHT,15593.0
2385,15,103,1771.78,4,4,4,444,12,STARS,15594.0
2386,100,77,1406.5900000000004,2,3,3,233,8,REGULARS,15596.0
2387,34,22,324.57,3,2,2,322,7,REGULARS,15597.0
2388,52,14,240.68,2,1,1,211,4,LIGHT,15598.0
2389,26,52,761.74,3,3,3,333,9,REGULARS,15599.0
2390,10,410,6776.559999999997,4,4,4,444,12,STARS,15601.0
2391,7,46,1297.8700000000003,4,3,3,433,10,ACTIVE,15602.0
2392,78,2,48.480000000000004,2,1,1,211,4,LIGHT,15603.0
2393,51,17,216.39000000000001,3,2,1,321,6,LIGHT,15604.0
2394,35,67,1198.23,3,3,3,333,9,REGULARS,15605.0
2395,60,77,2920.1600000000003,2,3,4,234,9,BIG SPENDER,15606.0
2396,336,13,104.76,1,1,1,111,3,LOST,15607.0
2397,27,60,1093.68,3,3,3,333,9,REGULARS,15608.0
2398,183,16,298.48,1,1,1,111,3,LOST,15609.0
2399,51,6,112.46,3,1,1,311,5,LIGHT,15610.0
2400,9,43,1591.4500000000003,4,3,4,434,11,BIG SPENDER,15611.0
2401,35,6,195.15,3,1,1,311,5,LIGHT,15612.0
2402,9,423,10399.739999999989,4,4,4,444,12,STARS,15615.0
2403,32,45,776.8510000000002,3,3,3,333,9,REGULARS,15618.0
2404,10,3,336.40000000000003,4,1,2,412,7,ACTIVE,15619.0
2405,56,100,1553.18,2,4,3,243,9,LOYAL,15620.0
2406,3,16,1293.0300000000002,4,1,3,413,8,ACTIVE,15621.0
2407,42,185,3709.5600000000018,3,4,4,344,11,BIG SPENDER,15622.0
2408,140,19,301.03,2,2,1,221,5,LIGHT,15623.0
2409,116,34,588.1300000000001,2,2,2,222,6,REGULARS,15624.0
2410,103,64,1534.26,2,3,3,233,8,REGULARS,15625.0
2411,74,49,675.8000000000001,2,3,3,233,8,REGULARS,15626.0
2412,4,155,2870.2400000000002,4,4,4,444,12,STARS,15628.0
2413,44,60,1186.35,3,3,3,333,9,REGULARS,15630.0
2414,15,167,3285.310000000001,4,4,4,444,12,STARS,15632.0
2415,16,15,243.55,4,1,1,411,6,NEW,15634.0
2416,89,25,724.76,2,2,3,223,7,REGULARS,15636.0
2417,52,15,223.36,2,1,1,211,4,LIGHT,15637.0
2418,133,25,425.31999999999994,2,2,2,222,6,REGULARS,15639.0
2419,3,484,12515.659999999982,4,4,4,444,12,STARS,15640.0
2420,104,119,1887.2000000000005,2,4,4,244,10,BIG SPENDER,15641.0
2421,191,33,664.0000000000002,1,2,3,123,6,LOST,15643.0
2422,165,238,812.9999999999998,1,4,3,143,8,LOYAL,15644.0
2423,18,52,612.0099999999998,3,3,2,332,8,REGULARS,15645.0
2424,157,35,447.63999999999993,1,2,2,122,5,LOST,15646.0
2425,203,25,657.3499999999999,1,2,3,123,6,LOST,15648.0
2426,335,2,816.0,1,1,3,113,5,LOST,15649.0
2427,36,32,646.3000000000001,3,2,2,322,7,REGULARS,15651.0
2428,90,21,337.74,2,2,2,222,6,REGULARS,15652.0
2429,92,6,877.4399999999999,2,1,3,213,6,REGULARS,15653.0
2430,8,21,922.5300000000002,4,2,3,423,9,ACTIVE,15654.0
2431,242,34,560.67,1,2,2,122,5,LOST,15655.0
2432,44,47,748.5000000000001,3,3,3,333,9,REGULARS,15656.0
2433,22,1,30.0,3,1,1,311,5,LIGHT,15657.0
2434,189,48,1024.0999999999997,1,3,3,133,7,LOST,15658.0
2435,43,11,306.45000000000005,3,1,2,312,6,REGULARS,15659.0
2436,24,90,1600.86,3,3,4,334,10,BIG SPENDER,15660.0
2437,316,5,309.8,1,1,2,112,4,LOST,15661.0
2438,105,9,138.14000000000001,2,1,1,211,4,LIGHT,15663.0
2439,50,17,386.43,3,2,2,322,7,REGULARS,15664.0
2440,167,116,2242.0100000000007,1,4,4,144,9,BIG SPENDER,15665.0
2441,39,13,301.32000000000005,3,1,1,311,5,LIGHT,15667.0
